iter	Passed	Remaining
0	3	329
1	5	291
2	8	283
3	11	272
4	14	276
5	17	278
6	20	275
7	23	274
8	26	270
9	29	264
10	31	256
11	33	243
12	34	231
13	36	221
14	37	211
15	38	202
16	39	194
17	44	204
18	49	210
19	50	203
20	52	196
21	53	190
22	55	185
23	56	179
24	57	173
25	60	172
26	61	167
27	63	162
28	64	158
29	65	153
30	67	149
31	68	145
32	69	141
33	70	137
34	72	135
35	74	131
36	75	128
37	76	124
38	77	121
39	78	118
40	80	115
41	80	111
42	82	109
43	83	106
44	84	103
45	86	101
46	87	98
47	88	96
48	90	93
49	91	91
50	92	88
51	93	86
52	95	84
53	96	81
54	96	79
55	97	76
56	99	74
57	100	72
58	101	70
59	103	68
60	104	66
61	105	64
62	106	62
63	108	60
64	110	59
65	111	57
66	113	55
67	115	54
68	118	53
69	119	51
70	120	49
71	121	47
72	122	45
73	124	43
74	125	41
75	127	40
76	128	38
77	129	36
78	131	34
79	132	33
80	134	31
81	135	29
82	137	28
83	138	26
84	140	24
85	141	23
86	142	21
87	143	19
88	145	17
89	146	16
90	147	14
91	148	12
92	150	11
93	151	9
94	152	8
95	153	6
96	154	4
97	156	3
98	157	1
99	158	0
